post,PosExp,NegExp,SymtomsOK,SymtomsNotOK,NoSideEffectsPresent,SideEffectsPresent,Rating,url,drug
"I am 41. I had been on Effexor for a couple of years, so when I was diagnosed and treated for breast cancer I carried on with the medication. I started taking Tamoxifen about a month ago. So far I am very fatigued, have headaches and some physical aches and pains. I take my Tamoxifen in the morning, with my breakfast, because that seems to calm the nausea that I can get with an empty stomach. The best thing that I am experiencing now that I am on the Tamoxifen is the ability to cry and work through emotion. That ability had left me while I was just on the Effexor, I still felt sad, but didn't feel like I could cry. Well the tears come now, and they feel cleansing and good. I have much less anxiety about having a cancer re-occurrence.",3,0,0,0,0,2,7,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
The wisest decision I can share is changing WHEN I take the tamoxifen. I decided that sleep was imperative in order to deal with the side effects. I take the tamoxifen during the day I live in CA so temp- wise this is a good thing to do. Running hot is an understatement. Skin and hair have taken a hit as the hips have improved. Suspect no juice to connective tissues is the reason also arthritis has shown up in both knees. One perk? Evenness of mood after 2 years. My 10 rating? No recurrence as of 2.5 years.,2,0,0,0,0,1,7,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"Bones hurt a lot, hot flashes were really bad.",0,0,0,1,0,1,7,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I have been on Tamoxifen for four months now & have been told I will be taking it for the standard 5yrs. I have had hot flashes, no period (that stopped after my second Chemo in April 2013), sex drive has disappeared (also from Chemo & Tamoxifen combined) and I have had pelvic pain (tend to be more apparent when I lay on my back), joint pain(in my elbow and where legs join pelvic) and lower back pain. I am hoping that some of these side effects will soon subside. Wow, it is amazing all the different side effects that Tamoxifen causes for people. Reading a lot of these comments has made me now realize that all the pains & aches I have been having, truly are side effects from the Tamoxifen. It's nice to know I'm not alone!",0,0,0,1,0,2,6,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I was on Tamoxifen for 4 1/2 years after I had my chemo. There were a lot of side effects after stopping estrogen, dry skin, loss of libido, edgy feeling. When I started taking Tamoxifen I felt much better. I didn't feel edgy as the Tamoxifen tricked my body into feeling like it had estrogen. I had hot flashes but did not feel them. My friends would tell me I must have had a hot flash because my face turned red, I highly recommend this medicine. I felt much better on it.",1,0,1,0,0,1,5,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I am going on 5 years taking this medication religiously. I was diagnosed with Stage 2B ductal carcinoma, invading my chest wall and 3 lymph nodes in 2008. So far, cancer free. The side effects are minimal. My skin is drier and I do feel aged but I also had my ovaries removed after testing for BRCA2 so I think it might be due to that also. I want to continue taking for another 5 years since I'm only 34.",1,0,1,0,0,1,5,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I took Tamoxifen for 5 years with very little side effects. I had some weight gain, but nothing I could not handle. I had hot flashes in the beginning, but finally went away.",0,0,2,0,0,1,4,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"Going on month two now... It made me very tired (loss of vitality) but it is much better now; had constipation but increased my fiber, water and exercise - all is well as long as I do this; joint pain in my hips but is better with the exercise, nausea - I had a little when I started, it got better and now it is back and worse - I have started taking Pepto-Bismol and it has helped - you can try mint (candy, gum); anxiety - happens occasionally but so far tolerable. It is always best to speak to your health professional before trying the above",0,0,3,0,0,2,4,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"Medicine works well. I was really scared initially but with my family and friends support, I gained strength. It worked like magic. I feel really better now. Had some start up issues but my body gelled well with the medicine. I am glad I took the medicine.",4,0,0,0,0,0,4,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"""This medicine is like playing a game. ""Side effect Roulette"". It is a quality of life issue. Yes, it may extend your life, but it makes you misearble while you are getting there. Hot Flashes, Severe Sweating, Insomnia, Severe Constipation, NO Menstrual Periods, it has stopped it completely, Bone Pain, Light Headness, unsteadiness, nausea....I fear what I am going to experience next. This constipation HAS to go",0,1,0,1,0,3,1,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"Though this medicine may give you a chance at living longer, the mood swings are massive. I feel depressed and have no energy. I am always nauseous. Everything hurts. My sex drive is basically gone and my periods are slight if not altogether absent. I have shrunk inside a bit so now sex is painful. I have hot flashes that keep me awake at night and make me very unhappy during the day.",0,1,0,1,0,3,1,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I have been on Tamoxifen for 10months now..I have had hot flashes, night sweats, mood swings, heavy menstrual bleeding, discharge, headaches and now back pain. But I want to decrease my chance of possibly getting invasive Breast Cancer or DCIS in my other breast..so will continue to take it",0,0,0,0,0,1,1,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"Positive and Negative points . Makes you gain weight, feel moody and bloated. Fluid retention is bad.",1,1,0,1,0,1,1,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen

